DateTime,AddedIPs,RemovedIPs
1580105233,3,1
1580108808,3,3
1580112429,1,2
1580116046,1,3
1580119630,3,1
1580123226,1,2
1580126851,2,2
1580130442,2,3
1580134044,3,1
1580137628,2,2
1580141232,1,1
1580144844,1,2
1580148443,3,3
1580152035,2,2
1580155639,1,2
1580159252,1,1
1580162831,3,2
1580166435,3,1
1580170078,3,2
1580173630,1,3
1580177225,3,3
1580180853,2,1
1580184442,2,2
1580188042,0,2
1580191649,1,2
1580195230,1,4
1580198838,3,1
1580202436,1,0
1580206061,2,1
1580209619,3,2
1580213249,2,2
1580216828,2,2
1580220419,3,2
1580224033,1,2
1580227631,2,2
1580231243,3,3
1580234815,2,2
1580238429,1,2
1580242042,2,2
1580245639,1,3
1580249239,2,2
1580252836,3,1
1580256454,2,2
1580260051,1,2
1580263645,3,2
1580267242,2,1
1580270860,3,2
1580274451,3,3
1580278038,2,2
1580281656,2,3
1580285250,2,3
1580288850,3,2
1580292447,3,2
1580296049,3,3
1580299643,1,2
1580303254,2,2
1580306845,3,3
1580310453,1,2
1580314057,2,1
1580317649,2,3
1580321239,2,3
1580324852,1,2
1580328439,3,2
1580332057,4,1
1580335641,2,3
1580339258,1,2
1580342862,1,2
1580346443,2,3
1580350033,3,1
1580353642,2,1
1580357229,3,2
1580360844,1,2
1580364456,1,1
1580368061,3,3
1580371661,2,1
1580375253,3,3
1580378867,2,2
1580382458,1,2
1580386053,3,3
1580389658,1,2
1580393247,3,1
1580396875,1,1
1580400452,3,3
1580404061,3,3
1580407656,3,2
1580411248,2,2
1580414853,1,2
1580418464,1,1
1580422056,1,2
1580425659,2,1
1580429266,1,2
1580432859,1,1
1580436467,3,1
1580440064,2,2
1580443671,2,3
1580447266,3,3
1580450876,1,2
1580454475,3,2
1580458063,3,1
1580461664,3,3
1580465258,2,3
1580468861,2,2
1580472450,1,3
1580476063,2,2
1580479675,1,3
1580483267,2,1
1580486846,3,2
1580490459,2,3
1580494074,1,0
1580497665,1,3
1580501267,3,2
1580504866,1,2
1580508472,3,1
1580512069,2,2
1580515672,2,1
1580519279,3,3
1580522880,3,3
1580526463,3,1
1580530079,2,3
1580533691,2,3
1580537257,1,3
1580540868,1,1
1580544458,1,1
1580548075,3,2
1580551666,2,2
1580555252,1,1
1580558862,2,2
1580562465,2,2
1580566074,3,1
1580569675,1,2
1580573260,3,3
1580576858,2,3
1580580457,2,2
1580584070,1,2
1580587662,3,1
1580591258,1,1
1580594879,2,2
1580598470,2,3
1580602034,1,2
1580605797,1,2
1580609270,2,1
1580612878,1,1
1580616475,1,1
1580620072,1,1
1580623661,3,2
1580627270,3,3
1580630856,1,1
1580634455,2,2
1580638063,2,2
1580641661,1,2
1580645264,2,3
1580648860,3,0
1580652464,3,2
1580656058,2,2
1580659655,3,3
1580663266,2,3
1580666860,2,2
1580670472,2,3
1580674066,0,1
1580677657,2,3
1580681268,2,3
1580684866,1,2
1580688472,4,0
1580692050,1,2
1580695650,2,2
1580699251,2,0
1580702866,3,2
1580706436,1,2
1580710040,3,2
1580713631,3,3
1580717223,1,2
1580720834,2,3
1580724426,2,3
1580728041,4,3
1580731630,2,0
1580735230,0,2
1580738834,3,3
1580742434,2,2
1580746035,3,3
1580749638,2,0
1580753289,2,3
1580756821,1,3
1580760434,1,2
1580764039,1,1
1580767635,2,1
1580771232,2,1
1580774853,1,2
1580778442,2,1
1580782103,2,1
1580785642,3,3
1580789232,3,1
1580792833,3,3
1580796448,2,3
1580800050,3,3
1580803670,2,3
1580807253,3,3
1580810840,3,2
1580814466,2,2
1580818056,2,2
1580821653,3,2
1580825259,3,4
1580828860,1,3
1580832466,3,3
1580836056,2,3
1580839720,2,1
1580843250,2,1
1580846855,2,2
1580850451,1,2
1580854056,1,2
1580857671,2,2
1580861257,2,2
1580864874,1,1
1580868461,2,3
1580872076,2,2
1580875656,3,2
1580879263,2,2
1580882862,3,2
1580886454,3,2
1580890057,2,3
1580893659,1,2
1580897265,2,1
1580900860,2,1
1580904457,3,3
1580908052,2,2
1580911667,3,3
1580915261,2,3
1580918862,3,2
1580922455,3,3
1580926065,2,2
1580929649,1,4
1580933273,1,1
1580936860,4,2
1580940455,3,2
1580944064,2,1
1580947664,2,3
1580951248,2,2
1580954850,1,2
1580958463,3,3
1580962058,2,2
1580965659,3,3
1580969238,3,1
1580972852,1,2
1580976450,3,4
1580980059,4,2
1580983664,2,2
1580987242,4,3
1580990853,3,2
1580994454,2,3
1580998054,3,4
1581001662,1,1
1581005270,2,3
1581008861,3,3
1581012456,2,3
1581016051,2,3
1581019667,2,1
1581023277,2,2
1581026861,1,1
1581030461,2,1
1581034057,2,2
1581037643,1,2
1581041248,3,2
1581044859,3,2
1581048457,2,2
1581052058,1,2
1581055664,2,3
1581059264,3,2
1581062855,2,2
1581066460,1,2
1581070043,3,2
1581073661,2,3
1581077248,3,2
1581080867,3,2
1581084451,2,2
1581088070,2,2
1581091653,2,3
1581095246,3,2
1581098854,1,3
1581102453,1,3
1581106060,2,1
1581109660,1,1
1581113254,3,2
1581116873,3,2
1581120455,3,1
1581124059,2,3
1581127666,1,3
1581131269,2,1
1581134876,3,3
1581138465,1,2
1581142035,2,3
1581145653,1,1
1581149250,3,1
1581152832,2,2
1581156434,1,3
1581160048,2,1
1581163641,1,2
1581167244,2,1
1581170859,2,2
1581174435,2,3
1581178038,3,1
1581181649,2,2
1581185299,1,2
1581188834,1,3
1581192453,3,1
1581196057,2,1
1581199665,3,2
1581203239,2,3
1581206864,2,2
1581210450,2,3
1581214046,3,1
1581217633,2,3
1581221264,3,2
1581224852,1,2
1581228451,2,3
1581232066,2,2
1581235664,2,2
1581239258,2,1
1581242863,1,2
1581246454,1,2
1581250069,2,2
1581253664,1,2
1581257260,2,2
1581260852,3,2
1581264459,3,3
1581268061,1,0
1581271669,3,2
1581275251,1,3
1581278862,1,1
1581282442,2,1
1581286076,2,2
1581289672,1,2
1581293241,3,2
1581296859,1,2
1581300457,3,1
1581304075,2,2
1581307661,0,1
1581311262,3,1
1581314858,2,3
1581318528,3,3
1581322057,3,2
1581325670,3,2
1581329259,2,3
1581332867,3,3
1581336456,1,2
1581340058,2,2
1581343645,3,2
1581347259,2,3
1581350845,2,3
1581354444,2,1
1581358048,1,2
1581361648,2,3
1581365262,2,1
1581368847,3,1
1581372460,1,2
1581376065,3,2
1581379650,3,3
1581383280,2,2
1581386869,3,2
1581390476,2,3
1581394078,3,3
1581397667,2,3
1581401267,0,2
1581404840,2,3
1581408456,3,2
1581412045,2,1
1581415653,3,1
1581419261,2,3
1581422861,3,2
1581426444,2,3
1581430047,1,2
1581433643,3,1
1581437242,2,3
1581440837,3,2
1581444461,7,2
1581448036,1,3
1581451650,1,2
1581455233,1,2
1581458850,1,1
1581462443,1,1
1581466040,1,1
1581469645,1,1
1581473253,2,1
1581476848,1,2
1581480453,2,1
1581484039,1,2
1581487649,1,1
1581491249,2,1
1581494851,2,2
1581498424,1,1
1581502057,2,2
1581505637,2,1
