DateTime,AddedIPs,RemovedIPs
1579777552,1,0
1579783458,1,1
1579787339,0,1
1579789223,1,1
1579791216,2,0
1579793062,1,0
1579795002,1,0
1579799121,1,0
1579800980,0,2
1579802897,0,1
1579804819,2,0
1579808899,1,0
1579810816,0,1
1579818496,0,1
1579820732,1,0
1579828340,0,1
1579832196,0,1
1579834097,1,0
1579836028,0,1
1579843719,2,0
1579845895,1,0
1579851623,0,1
1579855460,0,1
1579859295,1,0
1579861215,0,1
1579865081,0,1
1579868894,1,0
1579871113,1,1
1579874934,1,0
1579876831,0,3
1579880797,0,1
1579882830,0,1
1579884735,0,1
1579890493,0,1
1579892649,0,1
1579894826,0,1
1579900824,1,0
1579906627,1,1
1579920512,0,1
1579930098,0,2
1579932321,0,1
1579945737,0,1
1579955296,0,1
1579957505,1,0
1579959390,0,1
1579961313,0,1
1579970923,1,0
1579974747,1,0
1579976667,1,0
1579980539,1,0
1579984594,1,0
1579988423,0,1
1579994181,0,1
1580006184,1,0
1580010031,1,0
1580011955,1,0
1580037151,1,0
1580042911,0,1
1580046731,1,0
1580048666,1,0
1580052493,1,0
1580056579,0,1
1580060416,0,1
1580062338,0,1
1580066179,0,1
1580068103,1,0
1580071932,2,1
1580073860,1,0
1580092111,0,1
1580094377,1,0
1580096200,0,1
1580098109,0,1
1580113459,1,0
1580123315,0,1
1580125219,1,0
1580130988,1,0
1580132899,0,1
1580134832,1,1
1580136753,1,0
1580138660,0,1
1580149456,1,0
1580153291,1,0
1580155290,0,1
1580159141,0,3
1580168655,1,0
1580170579,1,0
1580174441,1,0
1580180190,0,1
1580195800,1,0
1580199613,0,1
1580201529,1,0
1580205375,1,0
1580212109,0,1
1580217869,0,1
1580221715,0,1
1580223842,2,1
1580231564,1,0
1580237300,0,1
1580239234,1,1
1580241136,1,0
1580249120,1,0
1580254816,0,1
1580256741,0,1
1580262493,0,1
1580281938,0,1
1580287718,0,1
1580291532,0,1
1580295385,1,0
1580304993,1,0
1580308816,0,1
1580310754,2,1
1580314578,1,0
1580318415,1,1
1580324172,0,1
1580326091,1,1
1580334752,0,1
1580336682,1,0
1580352260,1,0
1580354179,1,0
1580359932,1,0
1580363773,1,0
1580371704,1,0
1580373615,1,0
1580381311,1,0
1580383220,0,1
1580385141,1,0
1580390913,0,1
1580396784,0,1
1580398604,0,1
1580400519,1,1
1580404364,0,1
1580412026,0,1
1580413931,2,0
1580417784,1,0
1580421858,1,1
1580429538,1,0
1580435296,2,0
1580439135,0,2
1580444897,0,1
1580448999,0,1
1580458580,0,1
1580460764,0,1
1580462655,1,0
1580464589,1,0
1580466499,0,1
1580472521,0,1
1580480178,3,0
1580487889,1,1
1580491832,1,0
1580493997,1,0
1580497966,1,0
1580499880,1,2
1580503697,0,1
1580505631,1,0
1580507565,0,1
1580509475,2,0
1580511386,1,0
1580516424,0,1
1580520252,0,1
1580522184,0,1
1580524088,1,0
1580526058,1,0
1580527949,2,0
1580549131,0,1
1580550987,0,1
1580561062,1,0
1580567083,0,3
1580568995,1,0
1580570897,1,0
1580574978,0,1
1580578828,0,1
1580580883,1,1
1580584861,3,1
1580586751,1,1
1580592530,1,1
1580594706,1,1
1580596592,0,1
1580598503,0,1
1580608111,1,0
1580610019,0,1
1580611932,1,1
1580613868,0,2
1580625617,1,0
1580639065,1,0
1580646743,1,1
1580648665,1,0
1580654416,1,1
1580658256,0,1
1580662346,1,0
1580668364,0,1
1580670312,0,1
1580672180,0,3
1580677946,1,0
1580679880,0,1
1580682023,0,1
1580691875,1,0
1580693785,0,1
1580697614,0,1
1580711100,0,1
1580718997,1,0
1580724756,1,1
1580734351,0,2
1580736275,2,0
1580742273,0,1
1580746116,2,0
1580748020,0,1
1580749965,1,0
1580755735,1,0
1580765308,0,1
1580769394,1,0
1580773218,2,0
1580778984,0,1
1580784843,1,0
1580806005,0,1
1580811644,0,1
1580815467,1,0
1580817982,1,0
1580823628,0,2
1580829413,1,0
1580831323,0,1
1580833273,0,1
1580837167,0,1
1580843145,2,1
1580845002,2,0
1580849058,1,0
1580854829,0,1
1580858663,1,1
1580860590,1,1
1580862560,1,0
1580870419,0,1
1580872351,1,0
1580897540,1,0
1580899485,1,0
1580901379,0,1
1580905214,0,1
1580916750,0,1
1580922394,1,0
1580929835,0,2
1580931871,1,2
1580935945,0,1
1580944016,1,1
1580946020,1,1
1580949858,1,1
1580955609,1,0
1580959466,0,1
1580982522,0,1
1580984420,1,1
1580988268,1,0
1580990172,1,0
1581004109,1,0
1581007952,0,1
1581015832,3,0
1581017793,0,1
1581029550,0,1
1581031469,0,1
1581037399,0,1
1581043222,1,1
1581052813,2,0
1581066505,1,0
1581070351,2,1
1581072257,1,0
1581074178,0,1
1581076110,0,1
1581078037,2,0
1581079959,1,0
1581089786,1,1
1581097458,1,0
1581099389,1,0
1581101309,0,1
1581103253,0,2
1581108972,1,0
1581112903,1,0
1581126510,1,0
1581130330,0,1
1581139244,0,2
1581149150,1,0
1581152909,0,1
1581156742,1,2
1581158669,0,1
1581164427,1,2
1581166352,0,1
1581176170,0,1
1581178126,1,0
1581180019,1,0
1581183887,0,1
1581185776,2,1
1581187696,1,0
1581191639,1,0
1581195373,1,1
1581197293,1,0
1581199560,0,1
1581201393,1,0
1581205218,1,0
1581207148,1,0
1581212926,1,1
1581216732,2,0
1581218676,1,0
1581234252,0,1
1581243866,2,1
1581251790,1,1
1581261376,1,0
1581263308,1,0
1581265210,0,1
1581267171,0,1
1581269070,1,0
1581270972,1,0
1581272891,0,2
1581274992,0,1
1581276992,0,1
1581279073,1,0
1581283000,0,2
1581286830,1,0
1581288731,1,1
1581292571,1,2
1581298605,0,1
1581300505,1,0
1581302418,1,1
1581304350,0,1
1581306260,0,1
1581324044,1,0
1581327860,1,0
1581329821,0,2
1581339377,0,1
1581348022,0,1
1581349937,1,1
1581355696,1,1
1581357919,0,1
1581363622,0,1
1581367482,1,0
1581373220,1,1
1581375197,1,1
1581378986,0,1
1581380939,2,0
1581386899,0,1
1581388819,0,1
1581398680,1,0
1581408507,1,0
1581410422,0,1
1581414269,2,1
1581424096,3,0
1581427948,1,0
1581433710,1,0
1581435615,0,1
1581441377,1,1
1581452895,1,1
1581455008,1,0
1581460842,0,1
1581462987,0,1
1581466826,1,1
1581468731,0,1
1581470669,1,0
1581484332,0,1
1581495856,0,1
1581499692,1,1
1581501795,0,1
